No,Nama Event,Deskripsi,Bentuk Kegiatan, Waktu , Tempat ,ID Bahasa
33,Oirata,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,33
34,Dakka,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,34
35,Te'un (Seram Island),Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,35
36,Ujir,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,36
37,Dampelas,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,37
38,Gorap,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,38
39,Kodeoha,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,39
40,Sobei,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,40
41,Tombelala,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,41
42,Lola,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,42
43,Panasuan,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,43
44,Enggano,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,44
45,Kowiai,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,45
46,Laiyolo,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,46
47,Busoa,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,47
48,Onin,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,48
49,Ormu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,49
50,Taikat,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,50
51,Taloki,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,51
52,Tomadino,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,52
53,Toratán,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,53
54,Demisa,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,54
55,Kalao,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,55
56,Koroni,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,56
57,Talondo,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,57
58,Auye,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,58
59,Awyi,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,59
60,Fayu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,60
61,Taje,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,61
62,Serili,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,62
63,Benggoi,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,63
64,Kwansu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,64
65,Legenyem,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,65
66,Tarpia,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,66
67,Tause,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,67
68,Waru,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,68
69,Kaibobo,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,69
70,Kaiy,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,70
71,Sause,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,71
72,As,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,72
73,Emplawas,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,73
74,Baras,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,74
75,Bonggo,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,75
76,Erokwanas,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,76
77,Kadai,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,77
78,Kao,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,78
79,Koneraw,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,79
80,Bahonsuai,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,80
81,Bedoanas,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,81
82,Keder,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,82
83,Arguni,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,83
84,Wari,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,84
85,Taworta,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,85
86,Aputai,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,86
87,Obokuitai,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,87
88,Dubu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,88
89,Burate,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,89
90,Dabra,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,90
91,Karas,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,91
92,Kofei,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,92
93,Pauwi,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,93
94,Pyu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,94
95,Senggi,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,95
96,Tofanma,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,96
97,Narau,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,97
98,Itik,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,98
99,Tobati,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,99
100,Anus,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,100
101,Awera,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,101
102,Doutai,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,102
103,Iresim,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,103
104,Budong-Budong,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,104
105,Kayupulau,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,105
106,Lolak,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,106
107,Moraori,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,107
108,Paulohi,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,108
109,Salas,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,109
110,Maremgi,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,110
111,Yoki,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,111
112,Kapori,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,112
113,Amahai,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,113
114,Duriankere,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,114
115,Kwerisa,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,115
116,Massep,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,116
117,Mor,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,117
118,Dusner,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,118
119,Foya,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,119
120,Kembra,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,120
121,Loun,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,121
122,Mander,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,122
123,Usku,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,123
124,Woria,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,124
125,Hoti,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,125
126,Hulung,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,126
127,Ibu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,127
128,Kamarian,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,128
129,Lom,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,129
130,Nusa Laut,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,130
131,Liki,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,131
132,Mansim,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,132
133,Bonerif,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,133
134,Lengilu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,134
135,Saponi,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,135
136,Dampel,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,136
137,Hukumina,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,137
138,Kayeli,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,138
139,Liliali,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,139
140,Mapia,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,140
141,Moksela,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,141
142,Naka'ela,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,142
143,Nila (Nila Island),Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,143
144,Palumata,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,144
145,Piru,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,145
146,Tandia,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,146
147,Te'un (Te'un Island),Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,147
148,Javindo Creole,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,148
149,Peco' Creole,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,149
